plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
8443, 2160, 207.031402588, 25.4354248047, 100, 2, 1, 0, 57808,57809,
8444, 2161, 202.076721191, 32.7694740295, 100, 3, 1, 0, 57863,57867,57874,
8445, 2162, 205.772369385, 35.0785255432, 100, 2, 1, 0, 57819,57820,
8446, 2163, 205.290969849, 36.681968689, 100, 3, 1, 0, 57815,57816,57832,
8447, 2164, 206.961791992, 39.524848938, 100, 3, 1, 0, 57134,57135,57137,
8448, 2165, 165.737731934, 21.9174251556, 100, 2, 1, 0, 57123,57129,
8449, 2166, 168.715316772, 22.5431785583, 100, 2, 1, 0, 57401,57402,
8450, 2167, 171.380325317, 22.263343811, 100, 1, 1, 0, 57405,
8451, 2168, 165.280319214, 42.0926971436, 100, 1, 1, 0, 57104,
8452, 2169, 156.204040527, 47.1081428528, 100, 3, 1, 0, 57107,57120,57121,
8453, 2170, 152.728439331, 47.3763122559, 100, 2, 1, 0, 57105,57106,
8454, 2171, 154.112213135, 45.3526306152, 100, 1, 1, 0, 57404,
8455, 2172, 156.429077148, 40.4961433411, 100, 1, 1, 0, 57399,
8456, 2173, 150.601089478, 45.4401054382, 100, 2, 1, 0, 57367,57368,
8458, 2175, 146.811843872, 45.5371170044, 100, 5, 1, 0, 57365,57366,57367,57368,57372,
8459, 2176, 148.607055664, 43.2360115051, 100, 2, 1, 0, 57093,57096,
8461, 2178, 145.428848267, 43.2999763489, 100, 2, 1, 0, 57362,57364,
8462, 2179, 144.710372925, 37.0570068359, 100, 2, 1, 0, 57400,57401,
8464, 2181, 187.067276001, 45.2283477783, 100, 2, 1, 0, 57152,57153,
8465, 2182, 197.279464722, 48.2744293213, 100, 1, 1, 0, 57127,
8466, 2183, 169.842102051, 45.3505172729, 100, 1, 1, 0, 57151,
8467, 5119, 156.25, 15.0499, 211, 6, 6, 0, 57088,57092,57109,57114,57117,57120,
8468, 5125, 242.8204, 23.5698, 111, 8, 6, 0, 57115,57116,57119,57122,57148,57151,57167,57168,
8469, 5125, 242.8204, 23.5698, 211, 8, 6, 0, 57121,57169,57172,57175,57178,57204,57411,57414,
8470, 5119, 156.25, 15.0499, 321, 6, 6, 0, 57087,57093,57110,57115,57119,57142,
8471, 5119, 156.25, 15.0499, 421, 8, 6, 0, 57143,57169,57170,57389,57409,57415,57436,57443,
8472, 5126, 147.25, 38.0999, 111, 7, 6, 0, 57091,57094,57109,57113,57117,57120,57137,
8473, 5126, 147.25, 38.0999, 211, 6, 6, 0, 57092,57110,57113,57119,57141,57144,
8474, 5126, 147.25, 38.0999, 321, 7, 6, 0, 57110,57115,57121,57141,57144,57357,57360,
8475, 5126, 147.25, 38.0999, 421, 6, 6, 0, 57142,57389,57410,57413,57416,57433,
8476, 5010, 294.1249, 46.0047, 100, 21, 18, 0, 57113,57121,57202,57469,57554,57829,
8477, 5028, 268.5792, -1.4513, 210, 3, 3, 0, 57117,57123,57153,
8478, 5068, 222.5, -7.1, 222, 8, 6, 0, 57122,57123,57152,57168,57175,57440,57443,57448,
8481, 2184, 238.33996582, 54.7924995422, 100, 1, 1, 0, 57131,
8482, 2185, 243.642730713, 49.3926887512, 100, 4, 1, 0, 57110,57156,57159,57160,
8483, 2186, 246.271484375, 48.380947113, 100, 2, 1, 0, 57109,57110,
8484, 2187, 247.330200195, 45.4800186157, 100, 3, 1, 0, 57133,57135,57137,
8485, 2188, 234.064254761, 48.5898742676, 100, 1, 1, 0, 57132,
8486, 2189, 237.481124878, 47.5303344727, 100, 3, 1, 0, 57137,57141,57153,
8487, 2190, 239.591033936, 47.0481262207, 100, 5, 1, 0, 58289,58543,58544,58546,58547,
8488, 2191, 235.457000732, 46.4071846008, 100, 1, 1, 0, 58602,
8546, 2195, 237.524688721, 51.432472229, 100, 1, 1, 0, 58604,
8547, 2198, 217.620391846, 53.125377655, 100, 1, 1, 0, 57462,
8548, 2199, 244.242950439, 47.0770759583, 100, 3, 1, 0, 57126,57127,57129,
8549, 2203, 242.380371094, 45.7231750488, 100, 3, 1, 0, 57127,57129,57130,
8550, 2204, 247.996170044, 39.1601104736, 100, 2, 1, 0, 57162,57164,
8551, 2205, 233.688735962, 45.2797431946, 100, 1, 1, 0, 57133,
8552, 2207, 227.759796143, 44.1700935364, 100, 1, 1, 0, 57129,
8553, 2209, 233.950408936, 56.6525001526, 100, 1, 1, 0, 57519,
8554, 2210, 183.31791687, 36.1049575806, 100, 3, 1, 0, 57152,57153,57159,
8555, 2211, 245.390182495, 43.8553390503, 100, 2, 1, 0, 57131,57132,
8556, 5128, 258.9004, -24.5613, 100, 13, 12, 0, 57171,57480,57500,57524,57533,57557,
8557, 5129, 255.3518, -22.2382, 110, 9, 6, 0, 57168,57473,57498,57552,57555,57821,57823,57827,57833,
8558, 5129, 255.3518, -22.2382, 210, 6, 6, 0, 57169,57474,57499,57553,57556,57825,
8560, 5021, 291.5541, 38.1605, 100, 20, 18, 0, 57264,
8561, 2212, 239.673217773, 52.7372741699, 100, 3, 1, 0, 58584,58598,58601,
8562, 2213, 242.948776245, 51.3994636536, 100, 1, 1, 0, 58611,
8563, 2215, 240.897155762, 50.139629364, 100, 2, 1, 0, 58609,58610,
8564, 2216, 239.026382446, 48.6650390625, 100, 1, 1, 0, 58605,
8565, 2217, 241.362808228, 48.1312294006, 100, 3, 1, 0, 58582,58583,58587,
8566, 2075, 114.580108643, 40.8201637268, 200, 3, 1, 0, 57310,57312,57332,
8567, 2081, 119.441635132, 48.9050827026, 200, 4, 1, 0, 57306,57307,57308,57309,
8568, 2174, 155.498016357, 37.5446548462, 100, 3, 1, 0, 57399,57400,57401,
8569, 2059, 10.2644970703, 14.8846967347, 200, 5, 1, 0, 58840,58841,58844,58848,58849,
8570, 2063, 22.4844970703, 14.3446495578, 200, 2, 1, 0, 58838,58839,
8575, 5013, 284.2792, 41.1869, 100, 1, 1, 0, 57141,
8576, 5092, 229.225, 1.065, 531, 3, 3, 0, 57141,57144,57169,
8577, 5092, 229.225, 1.065, 631, 3, 3, 0, 57143,57148,57171,
8578, 5093, 251.809, -1.949, 210, 2, 1, 0, 57148,57151,
8579, 5010, 294.1249, 46.0047, 100, 21, 18, 0, 57172,57174,57178,57496,57528,57643,58291,
8580, 5021, 291.5541, 38.1605, 100, 20, 18, 0, 57142,57199,57471,57831,
8581, 5121, 206.0109, -0.0778, 211, 6, 6, 0, 57142,
8582, 5128, 258.9004, -24.5613, 100, 13, 12, 0, 57830,57888,58198,58199,58206,58233,58266,
8585, 5130, 265.9106, -24.934278, 100, 1, 1, 0, 57142,
8588, 2218, 250.005737305, 39.3706474304, 100, 2, 1, 0, 57194,57195,
8589, 2219, 226.450653076, 55.9557647705, 100, 3, 1, 0, 58577,58578,58579,
8591, 2221, 213.290481567, 53.215259552, 100, 2, 1, 0, 57434,57435,
8592, 2222, 222.040847778, 52.811706543, 100, 3, 1, 0, 57436,57452,57453,
8593, 2223, 226.314117432, 52.393825531, 100, 1, 1, 0, 58283,
8595, 2225, 219.793670654, 50.9309005737, 100, 3, 1, 0, 57465,57466,57467,
8596, 2226, 230.695098877, 49.8275642395, 100, 1, 1, 0, 58607,
8597, 2227, 224.928237915, 48.5969772339, 100, 3, 1, 0, 57495,57506,57507,
8598, 2228, 228.674560547, 48.1685905457, 100, 2, 1, 0, 58612,58615,
8600, 2230, 244.446289062, 42.5685882568, 100, 3, 1, 0, 57458,57459,57460,
8601, 2231, 249.388748169, 40.5561752319, 100, 1, 1, 0, 57192,
8602, 2232, 247.109268188, 38.703704834, 100, 3, 1, 0, 57195,57196,57436,
8603, 2233, 247.265365601, 39.4196090698, 100, 2, 1, 0, 57190,57191,
8604, 2234, 246.449966431, 39.040271759, 100, 2, 1, 0, 57185,57186,
8606, 2236, 254.511611938, 36.6689682007, 100, 3, 1, 0, 57163,57164,57165,
8609, 2239, 247.047286987, 14.5740060806, 100, 3, 1, 0, 58632,58633,58634,
8610, 2240, 256.684295654, 60.6974716187, 100, 3, 1, 0, 58635,58637,58638,
8611, 2241, 260.804199219, 60.9882888794, 100, 4, 1, 0, 57171,57267,57269,57271,
8612, 2242, 253.652404785, 38.4467010498, 100, 2, 1, 0, 57192,57194,
8613, 2243, 255.037231445, 34.785949707, 100, 3, 1, 0, 57515,57516,57517,
